,Label,System,X,Y,Name,NameText,ActiveWorld,Description,ButtonLabel,Map,ExitMap,Scale,PlanetRotation,RingColor,OrbitRing,SystemLevelType,PlanetLevelType,Event,EventCondition,EventFunction,EventParameter,EventTransition,EventTransitionParameter,EventMessage,VisibleConditional,VisibleFunction,VisibleParameter,UsableConditional,UsableFunction,UsableParameter,UsablePlanetConditional,UsablePlanetFunction,UsablePlanetParameter,ImageIndex,Shader,Horizon_Atmosphere_Intensity,Horizon_Atmosphere_Falloff,Bump_Amount,Atmosphere_Min,Atmosphere_Tile_U,Atmosphere_Tile_V,Atmosphere_Pan_Multiplier,Emissive_Twinkle_Multiplier,Normal_Map_Tile,City_Emissive_Tile,ContinentMask01,ContinentMask02,Continent_Texture,Ocean_Texture,AtmosphereMaster,City_Emissive,Normal_Map,Atmosphere_ColorR,Atmosphere_ColorG,Atmosphere_ColorB,Atmosphere_ColorA,Atmosphere_MixerR,Atmosphere_MixerG,Atmosphere_MixerB,Atmosphere_MixerA,Beach_ColorR,Beach_ColorG,Beach_ColorB,Beach_ColorA,City_Emissive_ColorR,City_Emissive_ColorG,City_Emissive_ColorB,City_Emissive_ColorA,City_Emissive_MixerR,City_Emissive_MixerG,City_Emissive_MixerB,City_Emissive_MixerA,Continent_ColorR,Continent_ColorG,Continent_ColorB,Continent_ColorA,Continent_Color_AltR,Continent_Color_AltG,Continent_Color_AltB,Continent_Color_AltA,Continent_Mask_MixerR,Continent_Mask_MixerG,Continent_Mask_MixerB,Continent_Mask_MixerA,Continent_Mask_Mixer02R,Continent_Mask_Mixer02G,Continent_Mask_Mixer02B,Continent_Mask_Mixer02A,Continent_Texture_MixerR,Continent_Texture_MixerG,Continent_Texture_MixerB,Continent_Texture_MixerA,Horizon_Atmosphere_ColorR,Horizon_Atmosphere_ColorG,Horizon_Atmosphere_ColorB,Horizon_Atmosphere_ColorA,Landmass_MixerR,Landmass_MixerG,Landmass_MixerB,Landmass_MixerA,Ocean_ColorR,Ocean_ColorG,Ocean_ColorB,Ocean_ColorA,Ocean_Color_AltR,Ocean_Color_AltG,Ocean_Color_AltB,Ocean_Color_AltA,Ocean_Texture_MixerR,Ocean_Texture_MixerG,Ocean_Texture_MixerB,Ocean_Texture_MixerA,Silt_ColorR,Silt_ColorG,Silt_ColorB,Silt_ColorA,SunColor0,SunColor1,SunColor2,Brightness0,Brightness1,Brightness2,Fringe_Bloom,Opacity,Corona_ColorR,Corona_ColorG,Corona_ColorB,Corona_ColorA
26,Planet04,9,0.1,0.31,166098,Veles,80104,166099,138062,-1,0,4.5,0,-1,1,0,1,Cangasti,0,0,1,0,0,,1,974,1,1,974,1,1,1415,1,-1,GXM_Planet_078,4,1,0.5,0,1,1,0.95,0,1,0,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere03,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal02,1,1,1,0,0.2,0,0,0,0.012664,0.006585,0.002263,0,1,0.612066,0.612066,0,1,0,0,1,0.063815,0.111299,0.041452,0,0.394083,0.899385,0.101145,0,0.003697,0.025371,0.124741,0,0.173439,0.124741,0.061907,0,1,1,1,0,0.91575,0.612066,0.394083,0,0.160444,0.060032,0.022013,1,0.193972,0.505433,0.447871,0,0.007155,0.353741,0.605484,0,1,0.95737,0.948965,0,0.027755,0.170138,0.160444,0,16115367,16446163,16115367,0,0.2,60,0,2,0.21952,0.368591,0.005028,0
27,Planet01,10,0.81,0.33,154017,Xawin,80201,165660,136217,11,0,4.3,0,-1,1,0,1,Land,0,0,1,0,0,,1,974,1,1,974,1,0,4626,0,16,GXM_Planet_011,2,1,0,0,1.5,1,1.3,0.03,0,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere03,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,5,5,5,0,0,0.5,3,0,0.000805,0.000805,0.000367,0,0,0,0,1,1,0,0,1,0.991393,0.982826,0.9743,0,1,1,1,0,0.041452,0.041452,0.041452,0,0.14198,0.14198,0.14198,0,0.004116,0.005028,0.004116,0,0.827726,0.819964,0.835528,0,0.080219,0,0.042987,1,0.000107,0,0.000107,0,0,0,0,0,0,0,0,0,0.012664,0.2468,0.173439,0,12304863,13999462,12304863,20,2,20,1,3,0.505433,0.541798,0.74453,0
28,Planet02,10,0.63,0.57,154013,Yunthorl,80202,154014,138062,-1,0,4.5,0,-1,1,0,1,Yunthorl,0,0,1,0,0,,1,974,1,1,974,1,1,1406,1,-1,GXM_Planet_010,2,2,0,0.05,1,1,1.2,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.88318,0.464741,0.415148,0,0.2,0.4,1,0,0.047776,0.047776,0.047776,0,5.7e-05,5.7e-05,5.7e-05,0,0.25084,0.25084,0.25084,0,0,0,0,0,0.2468,0.2468,0.2468,0,0.023104,0.023104,0.023104,0,0,0,0,0,1,1,0.1,0,0.88318,0.45908,0.409826,0,0.001963,0.001963,0.001963,0,0.037029,0.288816,0.106156,0,0,2.3e-05,0.002586,0,0.875138,0.875138,0.875138,0,0.026549,0.275833,0.238828,0,13999462,1065133377,12304863,30,3,50,0,3,0.74453,0.383775,0.180144,0
29,Planet03,10,0.27,0.52,154019,Antitarra,80203,154016,138062,-1,0,4.8,0,-1,1,0,1,Antitarra,0,0,1,0,0,,1,974,1,1,974,1,1,1408,1,-1,GXM_Planet_026,2,2,0,0.1,1,0.2,1.02,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,10,10,10,0,2,2,0,0,0.022013,0.011881,0.000992,0,0,0,0,1,1,0,0,1,0.373615,0.063815,0.063815,0,1,0.948965,0.948965,0,0.063815,0.063815,0.063815,0,0.63878,0.70117,0.70117,0,0.9743,0.9743,0.9743,0,0.505433,0.499505,0.409826,0,0.071761,0.071761,0.071761,1,0.378676,0.2468,0.116576,0,0.442323,0.442323,0.442323,0,0.000107,0.000107,0.000107,0,0.436813,0.234895,0.052842,0,13667517,16744512,13667517,10,0.2,50,0.5,3,0.766744,0.487765,0.68002,0
30,Planet04,10,0.28,0.31,154015,Trelyn,80204,154018,,-1,0,2.7,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_028,2,1,0.3,0,1,0.5,1.04,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal02,2,2,2,0,0,3,0,0,0.74453,0.74453,0.74453,0,0,0,0,1,1,0,0,1,0.632043,0.632043,0.632043,0,0.592438,0.592438,0.592438,0,0.554227,0.554227,0.554227,0,0.084642,0.084642,0.084642,0,0.9743,0.9743,0.9743,0,0.481952,0.481952,0.378676,0,0.694081,0.694081,0.694081,1,0,0,0,0,0.004116,0.005028,0.004116,0,0.948965,0.948965,0.948965,0,0.517401,0.517401,0.517401,0,14059911,16512207,14059911,10,2,50,0,1.5,0.68002,0.708298,0.56681,0
31,Planet05,10,0.74,0.29,165592,MSV Majesty,80205,165252,136916,-1,0,1,0,-1,0,1,2,Majesty,0,0,1,0,0,,1,975,1,1,974,1,1,1092,1,76,,19,1,0.55,0,1,1,0,0.03,1,1,,,,,,,,0.8,1.3,1.3,1,1,0.1,2,1,0.1,0.15,0.13,1,0,0,0,1,1,0,0,1,0.04,0.7,0.05,1,0.02,0.04,0.02,1,1,0,0,0,0,1,1,0,1,0,0,0,0.173439,0.4,0.9,1,0.2,0.7,0.1,1,0.014311,0.022013,0.067725,1,0.026549,0.61907,0.071761,1,0,0,5,0,0.05,0.1,0.9,1,-1,-1,-1,0,0,0,0,0,0,0,0,1
32,Planet06,10,0.31,0.09,165757,Thesalgon,80206,165758,,-1,0,5.5,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_016,5,2,0,0,1,0.2,1.05,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.991393,0.991393,0.991393,0,2,1,0,0,0.186989,0.082414,0.197516,0,0,0,0,0,1,0,0,1,0.046149,0.014311,0.035614,0,0.729919,0.715466,0.729919,0,0.751895,0.751895,0.751895,0,0.729919,0.121986,0.659224,0,0.004116,0.004116,0.004116,0,0.827726,0.812242,0.63878,0,0,0,0,1,0.067725,0.047776,0.089194,0,0.708298,0.302126,0.183549,0,0,2,2,0,0.065754,0.026549,0.063815,0,11393717,7574504,11393717,1,5,30,0.5,3,0.766744,0.487765,0.68002,0
33,Planet01,11,0.33,0.33,165674,Amaranthine,80301,165673,136217,31,0,4.7,0,-1,1,0,1,Land,0,0,1,0,0,,0,5881,1,0,5881,1,0,5881,1,30,GXM_Planet_215,0,1,0.4,0,1,0.5,1.1,0.0081,1,1.8,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask03,BIOA_GXM10_T.GXM_PlanetNormal02,0.5,0.835528,0.965815,0,0.1,0.1,0.1,0,0.000367,0.003303,0.003697,0,1,0.464741,0.075926,0,0.000107,0.000107,0.000107,0,0.012664,0.017936,0.096266,0,0.098689,0.183549,0.006585,0,0.3,0.3,50,0,4,0.2,1,0,0.523443,0.523443,0.523443,0,0.151058,0.404541,0.84337,0,1,0.6,2,1,0.101145,0.183549,0.007155,0,0.835528,0.891262,0.65237,0,1,1,1,0,0.015175,0.009696,0.000262,0,5272203,16379042,4273415,50,4,0,0,2,0.4,0.4,0.4,0
34,Planet02,11,0.54,0.38,165869,Maganlis,80302,165870,138062,-1,0,4.9,0,-1,1,0,1,Maganlis,0,0,1,0,0,,1,974,1,1,974,1,1,1416,1,-1,GXM_Planet_115,2,1,0,1,1,1,1,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.45908,0.715466,0.399293,0,0,0,0,0,0.011881,0.011881,0.011881,0,0,0,0,1,1,0,0,1,0.173439,0.041452,0.006585,0,0.88318,1,0.267358,0,0.517401,0,0.031551,0,0.039947,4,6,0,0.982826,0.982826,0.982826,0,0.560499,0.645555,0.476177,0,0.687031,0.160444,0.183549,1,0.006041,0.006041,0.006041,0,0.12753,0.12753,0.12753,0,0.965815,0.965815,0.965815,0,0.011881,0.011881,0.011881,0,16108711,5522698,10408958,50,10,50,5,5,0.88318,0.625345,0.124741,0
35,Planet03,11,0.6,0.67,165871,Therumlon,80303,165872,138062,-1,0,4.3,0,-1,1,0,1,Therumlon,0,0,1,0,0,,1,974,1,1,974,1,1,1417,1,-1,GXM_Planet_132,8,1,0,0.2,1,1,0.95,0,1,0,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.103634,0.2468,0.288816,0,0.193972,0.2,0.193972,0,0.425905,0.230998,0.011126,0,0,0,0,1,1,0,0,1,0.170138,0.212044,0.086901,0,1,1,1,0,1,0,1,0,0.2,0,0,0,1,1,0.982826,0,0.096266,0.259027,0.464741,0,0.5,0.55,0.8,1,0.001687,0.176774,0.176774,0,0.9743,0.9743,0.9743,0,1,1,1,0,0.297653,0.176774,0.004116,0,16115367,16446163,10408958,50,0.5,0,5,5,0.88318,0.625345,0.124741,0
36,Planet04,11,0.84,0.4,165873,Wentania,80304,165874,,-1,0,4.7,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_127,19,1,0,0,1,1,1,0,1,0,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.751895,0.835528,0.835528,0,0.065754,0.065754,0.065754,0,0.015175,0.025371,0.058187,0,0.329729,1,0.25084,0,1,0,0,1,0.212044,0.14198,0.212044,0,0.075926,0.212044,0.38891,0,2,0.729919,0.812242,0,0.344026,0.766744,0.796917,0,1,1,1,0,0.415148,0.517401,0.605484,0,0.5,0.5,0.5,0,0.024223,0.037029,0.12753,0,0.353741,0.875138,0.875138,0,1,1,1,0,0.026549,0.011881,0.000992,0,16115367,16446163,16744512,30,0.5,0,0,2,0.080219,0.173439,0.267358,0
40,Planet01,13,0.17,0.59,165675,Nonuel,90201,165676,136217,42,0,4.4,0,-1,1,0,1,Land,0,0,1,0,0,,1,974,1,1,974,1,1,974,1,35,GXM_Planet_283,4,1,0,0,1,1,1.1,0,1,0,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,1,1,4,0,1,1,1,0,0.011881,0.011881,0.011881,0,0.859174,0.399293,0.061907,0,2,0,0.5,0,0.042987,0.176774,0.254916,0,0.016068,0.067725,0.101145,0,0.2,0,0,0,0.039947,4,6,0,0.982826,0.982826,0.982826,0,0.353741,0.47044,0.796917,0,1,0.4,0,1,0.006041,0.006041,0.006041,0,0.12753,0.12753,0.12753,0,0.965815,0.965815,0.965815,0,0.009696,0.042987,0.060032,0,14084077,9284853,8828874,20,0.2,50,0,10,0.003697,0.035614,0.163641,0
41,Planet02,13,0.39,0.41,165875,Mingito,90202,165876,138062,-1,0,4.3,0,-1,1,0,1,Mingito,0,0,1,0,0,,1,974,1,1,974,1,1,1422,1,-1,GXM_Planet_129,12,2,0.55,0,1,1,1.05,0,1,0,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,5,5,0.891262,0,0.2,3,1,0,0.051122,0.027755,0.019918,0,1,0.899385,0.442323,0,1,0,0,1,0.592438,0.21952,0.023104,0,0.891262,0.867136,0.151058,0,25,0.2,0.2,0,1,1,0,0,1,1,1,0,0.103634,0.093876,0.227137,0,5,3,2,1,0.106156,0.511398,0.121986,0,0.84337,0.899385,1,0,1,1,1,0,0.006585,0.027755,0.047776,0,14084077,13696509,8828874,20,0.5,20,0,3,0.47044,0.436813,0.113921,0
42,Planet03,13,0.24,0.45,165877,Clocrolis,90203,165878,138062,-1,0,4.8,0,-1,1,0,1,Veyaria,0,0,1,0,0,,1,974,1,1,974,1,1,1423,1,-1,GXM_Planet_060,8,1,0.55,0,1,1,0.97,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,20,20,20,0,1,0.271577,2,0,0.186989,0.013473,0.013473,0,0,0,0,1,1,0,0,1,0.659224,0.722673,0.781751,0,0.859174,0.585973,0.275833,0,8,1.2,0.058187,0,0.12753,0.329729,0.409826,0,0.9743,0.9743,0.9743,0,0.15,0.22,0.3,0,1,0.016988,0.023104,1,0.625345,0.645555,0.74453,0,0.001433,1,0.899385,0,1,1,1,0,0.024223,0.038473,0.121986,0,16108711,16108711,10408958,0,0.2,200,0.02,6,0.071761,0.130352,0.21952,0
43,Planet04,13,0.44,0.7,165879,Maidla,90204,165880,,-1,0,4.5,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_045,19,1,0,0,1,1,1.02,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,0.907547,0.88318,0.598942,0,0,0.1,0,0,0.098689,0.073828,0.293216,0,0.306635,1,0.499505,0,1,0,0,1,0.875138,0.592438,0.080219,0,0.95737,1,0.010398,0,0.68002,0.68002,0.68002,0,0.965815,0.965815,0.965815,0,1,1,1,0,0.579547,0.70117,0.334458,0,1,1,1,0,0.025371,0.016068,0.046149,0,0.442323,0.20836,0.517401,0,0.163641,0.163641,0.163641,0,0.022013,0.013473,0.031551,0,15169298,13669901,4087386,1,8,2,0,2,0.073828,0.124741,0.147998,0
44,Planet05,13,0.06,0.27,165881,Veyaria,90205,165882,0,-1,0,5.7,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_033,2,3,0,0.1,1,0.2,1.02,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere03,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,3,3,3,0,2,1,2,0,0.014311,0.019918,0.030257,0,0,0,0,1,1,0,0,1,0.70117,0.353741,0.061907,0,0.046149,0.008373,0.012664,0,0.082414,0.011126,0.091518,0,0.368591,0.368591,0.368591,0,1,0.965815,1,0,0.45908,0.70117,0.907547,0,0.056374,0.065754,0,1,0.65237,0.481952,0.061907,0,0,0,0,0,0,0,0,0,0.21952,0.015175,0,0,14059911,1072685906,14059911,0.2,1.5,5,0,2,0.851252,0.47044,0.147998,0
45,Planet06,13,0.11,0.31,135761,Asteroid Belt,90206,0,,-1,0,0.01,0,-1,2,0,0,,0,0,1,0,0,,1,975,1,1,975,1,1,975,1,-1,,19,1,0.55,0,1,1,0,0.03,1,1,GXM_ContinentMask01,GXM_DiffuseMask01,GXM_DiffuseMask01,GXM_DiffuseMask01,GXM_Atmosphere01,GXM_ContinentMask02,GXM_PlanetNormal01,0.8,1.3,1.3,1,1,0.1,2,1,0.1,0.15,0.13,1,0,0,0,1,1,0,0,1,0.04,0.7,0.05,1,0.02,0.04,0.02,1,1,0,0,0,0,1,1,0,1,0,0,0,0.173439,0.4,0.9,1,0.2,0.7,0.1,1,0.014311,0.022013,0.067725,1,0.026549,0.61907,0.071761,1,0,0,5,0,0.05,0.1,0.9,1,-1,-1,-1,0,0,0,0,0,0,0,0,1
46,Planet01,14,0.66,0.26,165656,Klensal,90301,165657,136217,10,0,4.4,0,-1,1,0,1,Land,0,0,1,0,0,,1,974,1,1,974,1,0,5007,0,15,GXM_Planet_288,6,1,0.1,0,1,1,1.2,0,0.8,0,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask03,BIOA_GXM10_T.GXM_PlanetNormal01,5,5,5,0,1,0,1,0,0.106156,0.2468,0.499505,0,0.819964,1,0.378676,0,0.476177,0.476177,0.476177,0,0.409826,0.7593,1,0,1,1,1,0,28,20,22,0,0.2,0.2,0,0,1,1,1,0,0.348865,0.45908,0.47044,0,0.2,0.5,0.3,1,0.005028,0.010398,0.041452,0,0.086901,0.632043,0.819964,0,1,1,1,0,0.2468,0.394083,0.425905,0,16108711,16108711,10408958,0,0,100,0.02,6,0.071761,0.130352,0.21952,0
47,Planet02,14,0.38,0.52,165749,Jartar,90302,165750,,-1,0,3.8,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_164,20,1,0.3,0,1,1,1,0.02,0.8,1,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask03,BIOA_GXM10_T.GXM_PlanetNormal02,0.982826,0.91575,0.796917,0,0,0,0,0,0.2468,0.071761,0.017936,0,1,0.645555,0.378676,0,0,0,0,0,0.022013,0.001433,2.3e-05,0,0.899385,0.804559,0.339223,0,10,33,3,0,2,0.1,0,0,0.948965,0.948965,0.948965,0,0.124741,0.133209,0.103634,0,0.2,2,2,1,0.476177,0.373615,0.311181,0,0.63878,0.383775,0.234895,0,0.907547,1,1,0,0.084642,0.042987,0.022013,0,16108711,16108711,16108711,0,0,100,0.1,2,0.88318,0.625345,0.12741,0
48,Planet03,14,0.36,0.37,165751,Nearrum,90303,165752,138062,-1,0,4.5,0,-1,1,0,1,Nearrum,0,0,1,0,0,,1,974,1,1,974,1,1,1424,1,-1,GXM_Planet_159,8,1,0,0,2,1,1.1,0.02,1,2,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,1,1,1,0,0.212044,0.212044,0.212044,0,0.009021,0.001433,0.001433,0,0.7593,0.7593,0.315763,0,3.8,3.8,3.8,0,0.024223,0.010398,0,0,0.170138,0.487765,0.632043,0,70,6,0.2,0,12,8,0.06,0,0.625345,0.625345,0.625345,0,1,1,1,0,5,0.1,6,1,0.176774,0.147998,0.008373,0,0.047776,0.017936,0.056374,0,1,1,1,0,0.082414,0.013473,0.002263,0,16108711,16108711,16108711,0,1,50,0.1,2,0.965815,0.65237,0.43134,0
49,Planet04,14,0.88,0.63,165753,Gremar,90304,165754,,-1,0,4.2,0,-1,1,0,1,,0,0,1,0,0,,1,974,1,1,974,1,1,975,1,-1,GXM_Planet_162,40,1,1.8,0,1,1,0,0.02,1,1,BIOA_GXM10_T.GXM_ContinentMask04,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere02,BIOA_GXM10_T.GXM_ContinentMask03,BIOA_GXM10_T.GXM_PlanetNormal01,1,1,1,0,0.190463,0.190463,0.190463,0,0.766744,0.383775,0.383775,0,1,0.645555,0.378676,0,2.9,2.1,2.1,0,0.000107,0.019918,0.000175,0,0.625345,0.891262,0.344026,0,0.7,0.5,0.7,0,2,0.3,0,0,0.948965,0.948965,0.948965,0,0.027755,0.071761,0.101145,0,0.08,0.9,0,1,0.010398,0.010398,0.010398,0,0.267358,0.193972,0.38891,0,0,0.65237,0.65237,0,0.585973,0.242796,0.487765,0,16108711,16108711,9887217,0,0.01,50,0.1,2,0.965815,0.65237,0.43134,0
50,Planet05,14,0.4,0.04,165755,Raysha,90305,165756,138062,-1,0,5.7,0,-1,1,0,1,Raysha,0,0,1,0,0,,1,974,1,1,974,1,1,1425,1,-1,GXM_Planet_260,20,2,0,0.1,1,0.2,1.05,0.03,1,1,BIOA_GXM10_T.GXM_ContinentMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_DiffuseMask01,BIOA_GXM10_T.GXM_Atmosphere01,BIOA_GXM10_T.GXM_ContinentMask02,BIOA_GXM10_T.GXM_PlanetNormal01,20,20,20,0,1,1,0,0,0.022013,0.049433,0.020951,0,0,0,0,0,1,0,0,1,0.20471,0.302126,0.136099,0,0.271577,0.618686,0.694081,0,0.263175,0.263175,0.263175,0,0.004116,0.004116,0.004116,0,0.9743,0.9743,0.9743,0,0.042987,0.016068,0.008373,0,0.215764,0.215764,0.215764,0,0.991393,0.991393,0.991393,0,0.20836,0.687031,0.687031,0,0.9743,0.9743,0.9743,0,0.012664,0.016988,0.078057,0,16108711,16108711,9887217,100,0.01,50,0,5,0.907547,0.708298,0.334458,0
51,Planet06,14,0.84,0.48,135761,Asteroid Belt,90306,166213,,-1,0,0.01,0,-1,2,0,0,Dis_Belt,0,0,1,0,0,,1,975,1,1,975,1,1,975,1,-1,,19,1,0.55,0,1,1,0,0.03,1,1,GXM_ContinentMask01,GXM_DiffuseMask01,GXM_DiffuseMask01,GXM_DiffuseMask01,GXM_Atmosphere01,GXM_ContinentMask02,GXM_PlanetNormal01,0.8,1.3,1.3,1,1,0.1,2,1,0.1,0.15,0.13,1,0,0,0,1,1,0,0,1,0.04,0.7,0.05,1,0.02,0.04,0.02,1,1,0,0,0,0,1,1,0,1,0,0,0,0.173439,0.4,0.9,1,0.2,0.7,0.1,1,0.014311,0.022013,0.067725,1,0.026549,0.61907,0.071761,1,0,0,5,0,0.05,0.1,0.9,1,-1,-1,-1,0,0,0,0,0,0,0,0,1
