Audio Bus	ID	Name			Wwise Object Path	Notes
	3013457411	ME3_Conduit_Run			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Conduit_Run	
	3090357960	ME3_Space_No_Atmosphere			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Space_No_Atmosphere	
	3422808352	ME3_Room_Large			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Room_Large	
	3448330218	ME3_Arena_Small_MP			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Arena_Small_MP	
	3541675660	ME3_Hall_Large			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Hall_Large	
	3564328856	ME3_Room_Large_Convolutional			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Room_Large_Convolutional	
	3596941993	ME3_Geth_Consensus			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Geth_Consensus	
	3658469432	ME3_Room_Small			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Room_Small	
	3661805311	ME3_Exterior_Courtyard_Convolutional			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Exterior_Courtyard_Convolutional	
	3766353854	ME3_Exterior_Canyon			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Exterior_Canyon	
	3767861936	ME3_Room_Large_MP			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Room_Large_MP	
	3781604906	ME3_Arena_Small			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Arena_Small	
	3798919638	ME3_Room_Medium_MP			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Room_Medium_MP	
	3822083351	ME3_Corridor			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Corridor	
	3980032103	ME3_Air_Vent			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Air_Vent	
	4114592471	ME3_Exterior_Courtyard			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Exterior_Courtyard	
	4228285632	ME3_Room_Small_Convolutional			\Default Work Unit\Master Audio Bus\Slowdown and Bleedout Affected\Enviromental\Migrated\ME3_Room_Small_Convolutional	

Effect plug-ins	ID	Name	Type				Notes
	5464329	Default (Custom)	Wwise Meter			
	146988049	Default (Custom)	Wwise Meter			
	545023152	Default (Custom)	Wwise Flanger			
	971528848	Default (Custom)	Wwise Meter			
	1017456935	Default (Custom)	Wwise Parametric EQ			

Audio Devices	ID	Name	Type				Notes
	2317455096	No_Output	No Output			
	3859886410	System	System			

